Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,NIFTYBEES.NS,HINDUNILVR.NS,KOTAKBANK.NS
2014-01-01,188.33409118652344,811.1532592773438,150.4985809326172,316.1754455566406,177.5121307373047,63.71900177001953,468.3412780761719,71.67333221435547
2014-01-02,185.409912109375,816.3139038085938,148.65452575683594,317.3195190429688,173.938232421875,62.85599899291992,460.1995544433594,70.17052459716797
2014-01-03,183.1320037841797,837.1079711914062,150.03469848632812,325.0325317382813,172.51519775390625,62.79199981689453,462.32708740234375,70.68136596679688
2014-01-06,181.1613616943359,843.662841796875,149.71797180175778,320.7247314453125,168.31065368652344,62.54199981689453,461.0995788574219,70.83513641357422
2014-01-07,178.43849182128906,831.061767578125,150.32888793945312,315.18624877929693,169.79840087890625,62.39400100708008,457.37646484375,70.24492645263672
2014-01-08,179.91116333007812,841.0443725585939,150.3967590332031,312.53784179687506,170.4937744140625,62.433998107910156,457.5401306152343,70.71609497070312
2014-01-09,180.26080322265625,844.5481567382814,150.0008087158203,314.6073303222657,169.9358367919922,62.356998443603516,453.44876098632807,70.44332122802734
2014-01-10,181.8394317626953,859.2202758789065,149.7971649169922,323.7652893066407,165.6747283935547,62.472000122070305,449.88919067382807,69.48112487792969
2014-01-13,186.55412292480466,892.3135986328127,152.2407531738281,334.13574218750006,170.5908203125,63.359001159667955,446.5343322753905,71.11286926269533
2014-01-14,186.78726196289065,876.4920043945315,152.11633300781247,336.11865234375006,167.607177734375,63.08900070190429,440.56097412109364,70.55738067626953
2014-01-15,187.62423706054688,886.6066894531252,153.98300170898435,338.42529296875006,171.1487121582031,63.80699920654297,446.12524414062494,72.32801055908203
2014-01-16,187.77256774902344,885.3638916015628,152.2860412597656,339.61044311523443,171.23765563964844,63.88100051879883,451.77111816406244,72.55616760253908
2014-01-17,187.4758758544922,833.6611328125003,150.46464538574216,340.03894042968756,167.29995727539062,63.22700119018555,457.33560180664057,72.1246566772461
2014-01-20,184.29740905761716,880.8054199218752,151.60726928710935,341.8214111328126,168.828125,63.87799835205079,454.22610473632807,72.22882080078126
2014-01-21,182.87774658203122,858.9943847656251,152.9761199951172,342.64648437500006,174.33447265625,63.70899963378907,458.07196044921864,70.06141662597656
2014-01-22,184.8695831298828,856.6403198242189,153.20242309570312,343.33480834960943,175.93544006347656,64.24099731445312,463.5133972167969,70.45819091796875
2014-01-23,183.46044921875,848.5031738281251,153.74545288085938,345.7598876953125,174.56085205078125,64.29100036621094,464.04541015624994,69.96221160888673
2014-01-24,183.85246276855466,847.090576171875,152.36523437499997,342.62823486328125,171.1244659423828,63.4630012512207,462.98175048828125,67.92376708984376
2014-01-27,178.66098022460935,841.3923950195312,146.8896789550781,340.26239013671875,163.2975616455078,62.102001190185554,470.71441650390614,65.2802200317383
2014-01-28,179.02117919921872,834.882568359375,145.8149261474609,335.056640625,164.72869873046872,62.13100051879884,466.1729736328124,65.44886016845705
2014-01-29,177.2730560302734,833.9203491210939,146.0412139892578,338.9495544433594,161.9391632080078,62.430000305175795,466.09109497070295,65.86546325683595
2014-01-30,174.81506347656247,836.8636474609376,142.95269775390625,337.7141418457031,157.59718322753903,61.67399978637697,466.7456970214842,64.48169708251955
2014-01-31,176.11820983886716,845.7135009765626,142.2060546875,337.427001953125,159.72369384765622,61.723999023437514,466.5001831054685,65.1760711669922
2014-02-03,173.94625854492182,828.1276855468751,141.75350952148438,330.8674011230469,155.81025695800778,61.29100036621096,466.213928222656,64.96774291992189
2014-02-04,174.08401489257807,811.8628540039064,142.6811981201172,324.663330078125,156.64308166503903,60.93199920654298,466.6229553222654,65.99442291259767
2014-02-05,173.17285156249994,828.108642578125,144.2310791015625,326.5002746582031,156.25495910644528,61.09199905395509,466.4184875488279,66.21263885498048
2014-02-06,172.87620544433585,820.8822021484375,146.39190673828122,324.9003295898437,154.92890930175776,61.105998992919936,479.96090698242165,65.51829528808595
2014-02-07,172.5795593261718,809.2399291992188,146.56161499023435,325.16015624999994,155.31701660156247,61.604999542236335,472.6782836914061,65.35462951660158
2014-02-10,174.16876220703116,790.0505371093751,145.69047546386716,325.8211364746093,155.33319091796872,61.479000091552734,461.5087890624998,64.20394897460939
2014-02-11,170.63006591796866,793.1260986328127,145.89410400390625,327.8678588867187,156.67541503906244,61.5989990234375,460.2403869628904,64.20394897460939
2014-02-12,173.31056213378898,794.5415649414065,146.0412139892578,328.2189025878906,161.58340454101557,61.72499847412108,465.9683532714841,64.43209838867189
2014-02-13,171.0856628417968,805.2210083007814,143.1110992431641,326.9151306152344,159.0606842041015,60.833999633789055,455.98538208007784,63.16735458374024
2014-02-14,174.18994140624991,818.1084594726564,145.21533203125,332.2485656738281,159.84500122070304,61.33900070190428,458.4401550292966,64.1245803833008
